ticket_ref,fecha_creacion,mes,modulo,estado,prioridad,categoria
TCK-0290,2025-09-22,2025-09,Gestión Economica,Validación CAIB,Normal,
TCK-0010,2025-12-17,2025-12,Gestión Economica,Asignada,Normal,Correctivo
TCK-0058,2025-12-02,2025-12,Gestión Economica,Nueva,Baja,
TCK-0061,2025-12-02,2025-12,Gestión Economica,Nueva,Baja,Evolutivo
TCK-0026,2025-12-11,2025-12,Planificación,En curso,Normal,
TCK-0064,2025-12-02,2025-12,"Usuarios, perfiles y integración SIGP",Validación CAIB,Normal,Correctivo
TCK-0093,2025-11-20,2025-11,Gestión Economica,Validación CAIB,Normal,Correctivo
TCK-0185,2025-10-08,2025-10,Gestión Economica,Resuelta,Alta,
TCK-0245,2025-09-24,2025-09,Servicios del Centro,Validación DES,Normal,
TCK-0047,2025-12-09,2025-12,Gestión Economica,Validación CAIB,Normal,
TCK-0076,2025-11-26,2025-11,"Usuarios, perfiles y integración SIGP",Validación CAIB,Normal,Evolutivo
TCK-0164,2025-10-14,2025-10,Gestión Economica,Resuelta,Alta,Correctivo
TCK-0297,2025-09-22,2025-09,Servicios del Centro,Resuelta,Normal,
TCK-0308,2025-09-18,2025-09,Gestión Economica,Resuelta,Normal,
TCK-0286,2025-09-22,2025-09,Servicios del Centro,Validación DES,Normal,
TCK-0291,2025-09-22,2025-09,Servicios del Centro,Resuelta,Normal,
TCK-0006,2025-12-18,2025-12,Gestión Economica,Asignada,Normal,
TCK-0156,2025-10-20,2025-10,Gestión Economica,Validación CAIB,Alta,Correctivo
TCK-0165,2025-10-14,2025-10,Ventanilla,Resuelta,Alta,Correctivo
TCK-0169,2025-10-14,2025-10,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0074,2025-11-28,2025-11,InterDGPC,Asignada,Normal,Evolutivo
TCK-0105,2025-11-14,2025-11,Gestión Economica,Resuelta,Normal,Correctivo
TCK-0138,2025-10-29,2025-10,Gestión Economica,Validación CAIB,Normal,
TCK-0207,2025-10-01,2025-10,Ventanilla,Resuelta,Baja,Evolutivo
