Topic,Count,palabras_clave,NEG,NEU
"0,52,""desarrollo, detalles, encuentran, estimado, servicio, transporte"",,1.0"
"1,23,""usuarios, solicitud, perfil, alta, carga, usuario"",0.26,0.74"
"2,21,""traducción, traducir, grupos, png, materias, opciones"",,1.0"
"3,17,""error, usuario, aparece, usuaria, código, asiento"",0.41,0.59"
"4,17,""pilotos, centros, empresa, gestión, firma, contacto"",,1.0"
"5,15,""asiento, asientos, tipo, pago, prepago, nuevo"",0.27,0.73"
"6,15,""inicio, pantalla, enseñanza, presente, detalle, hacer"",,1.0"
"7,12,""perfil, menú, png, direccion, inventario, pantallas"",,1.0"
"8,11,""justificación, justificaciones, periodos, específica, específicas, png"",0.09,0.91"
"9,9,""actuaciones, tarea, concretar, alta, pendiente, definición"",,1.0"
"10,8,""económica, gestión, límite, caja, sacar, movimiento"",0.38,0.62"
"11,7,""ejercicio, inicial, económico, configuración, dieta, jpg"",,1.0"
"12,7,""econ, mica, literales, comptes, pantalla, gestió"",0.14,0.86"
"13,7,""com, mirueda, sharepoint, https, grupoayesaa, file"",,1.0"
"14,6,""tablas, empleado, interfaz, cargos, siempre, propuesta"",,1.0"
